question,category,answer,Unnamed: 3,success_mmr_5,success_similarity_5,success_mmr_10,success_similarity_10,success_mmr_20,success_similarity_20
What is the associated phenotype for the SLCO1B1 *1/*5 diplotype?,Diplotype Phenotype recognition,"[[""*1/*5"", ""SLCO1B1 Decreased Function""]]",,0,0,0,0,0,0
My patient has a SLCO1B1 *1/*10 diplotype. What is the phenotype for this diplotype?,Diplotype Phenotype recognition,"[[""*1/*10"", ""SLCO1B1 Indeterminate""]]",,0,0,0,0,0,0
My patient's PGx result indicates CYP2C9 *2 *6 diplotype. Does this mean she is a poor metabolizer?,Diplotype Phenotype recognition,"[[""*2/*6"", ""CYP2C9 Poor Metabolizer""]]",,1,1,1,1,1,1
What is the  phenotype for  SLCO1B1 *6/*31 diplotype?,Diplotype Phenotype recognition,"[[""*6/*31"", ""SLCO1B1 Possible Decreased Function""]]",,0,0,0,0,0,0
My patient has the ABCG2 rs2231142 reference on both alleles. is this mean she has normal function?,Diplotype Phenotype recognition,"[[""rs2231142 reference (G)/rs2231142 reference (G)"", ""ABCG2 Normal Function""]]",,1,1,1,1,1,1
What are some diplotypes for SLCO1B1 Increased Function impacting statins?,Diplotype Phenotype recognition,"[[""*14/*14"",""*14/*20"",""*20/*20"", ""SLCO1B1 Increased Function""]]",,1,1,1,1,1,1
A SLCO1B1 *1/*20 diplotype would have which phenotype?,Diplotype Phenotype recognition,"[[""*1/*20"", ""SLCO1B1 Normal Function""]]",,0,0,0,0,0,0
Wht phenotype is associated with SLCO1B1 *14/*14 diplotype?,Diplotype Phenotype recognition,"[[""*14/*14"",""SLCO1B1 Increased Function""]]",,0,0,0,0,0,0
What is the associated phenotype for the CYP2C9 *2/*15 diplotype?,Diplotype Phenotype recognition,"[[""*2/*15"",""CYP2C9 Poor Metabolizer""]]",,0,0,0,0,0,0
List SLCO1B1 diplotypes with a normal function phenotype.,Diplotype Phenotype recognition,"[[""*1/*1"",""*1/*14"",""*1/*20"",""*1/*37"",""*14/*37"",""*20/*37"",""*37/*37"", ""SLCO1B1 Normal Function""]]",,0,0,0,0,0,0
My patient has ABCG2 decreased function. Can you tell me what variant he has?,Diplotype Phenotype recognition,"[[""rs2231142 reference (G)/rs2231142 variant (T)"", ""ABCG2 Decreased Function""]]",,1,1,1,1,1,1
My patient has rs2231142 variant (T) in the  ABCG2 gene. What is her phenotype?,Diplotype Phenotype recognition,"[[""rs2231142 variant (T)/rs2231142 variant (T)"", ""ABCG2 Poor Function""]]",,1,1,1,1,1,1
My test results show rs2231142 variant and reference on ABCG2 gene. What does this mean?,Diplotype Phenotype recognition,"[[""rs2231142 reference (G)/rs2231142 variant (T)"", ""ABCG2 Decreased Function""]]",,1,1,1,1,1,1
My genetic test result shows CYP2C9 *12 *38 diplotype. What is the meaning of this?,Diplotype Phenotype recognition,"[[""*12/*38"", ""CYP2C9 Intermediate Metabolizer""]]",,1,1,1,1,1,1
What are the genotypes for CYP2C9 Normal Metabolizer impacting statins?,Diplotype Phenotype recognition,"[[""*1/*1"",""*1/*9"",""*9/*9"",""CYP2C9 Normal Metabolizer""]]",,0,0,0,0,0,0
My patient has *1/*7 diplotype in the CYP2C9 gene. Does this have a known phenotype?,Diplotype Phenotype recognition,"[[""*1/*7"", ""CYP2C9 Indeterminate""]]",,1,1,1,1,1,1
My patient has *3/*31 diplotype in the CYP2C9 gene. What is the phenotype?,Diplotype Phenotype recognition,"[[""*3/*31"", ""CYP2C9 Poor Metabolizer""]]",,1,1,1,1,1,1
What phenotype is associated with the SLCO1B1 *1/*37 diplotype?,Diplotype Phenotype recognition,"[[""*1/*37"", ""SLCO1B1 Normal Function""]]",,0,0,0,0,0,0
Can you tell me the phenotype for the CYP2C9 *1/*3 diplotype?,Diplotype Phenotype recognition,"[[""*1/*3"", ""CYP2C9 Intermediate Metabolizer""]]",,1,1,1,1,1,1
What is the phenotype for the SLCO1B1 *14/*20 diplotype?,Diplotype Phenotype recognition,"[[""*14/*20"", ""SLCO1B1 Increased Function""]]",,0,0,0,0,0,0
My patient's PGx result indicates CYP2C9 *1/*6 diplotype. What does this mean?,Diplotype Phenotype recognition,"[[""*1/*6"", ""CYP2C9 Intermediate Metabolizer""]]",,0,1,1,1,1,1
What phenotype is associated with the ABCG2 rs2231142 variant on both alleles?,Diplotype Phenotype recognition,"[[""rs2231142 variant (T)/rs2231142 variant (T)"", ""ABCG2 Poor Function""]]",,1,1,1,1,1,1
My patient's test results show *12/*23 on SLCOB1. What does this mean?,Diplotype recognition,"[[""*12/*23"", ""SLCO1B1""]]",,0,0,0,0,0,0
What does SLCO1B1 *1 *1 mean?,Diplotype recognition,"[[""*1/*1"", ""SLCO1B1""]]",,1,1,1,1,1,1
"My PGx test results say that I have CYP2C9 *2 / *13 genotype, before I meet with my doctor, I would like to get more information on this.",Diplotype recognition,"[[""*2/*13"", ""CYP2C9""]]",,0,0,0,0,0,0
What are the implications of having a *2/*33 diplotype in the gene CYP2C9?,Diplotype recognition,"[[""*2/*33"", ""CYP2C9""]]",,1,1,1,1,1,1
What are therapy implications for a patient with SLCO1B1 *11/*46 diplotype?,Diplotype recognition,"[[""*11/*46"", ""SLCO1B1""]]",,1,1,1,1,1,1
What does CYP2C9 *1/*9 mean?,Diplotype recognition,"[[""*1/*9"", ""CYP2C9""]]",,0,0,0,0,0,0
My genetic test results indicate that I might be at risk of muscle pain if I take some cholesterol medications because I have SLCO1B1 *1/*9 diplotype. I would like to understand this better.,Diplotype recognition,"[[""*1/*9"", ""SLCO1B1""]]",,1,0,1,1,1,1
My patient has a SLCO1B1 *2/*31 diplotype. What are therapeutic implications?,Diplotype recognition,"[[""*2/*31"", ""SLCO1B1""]]",,1,1,1,1,1,1
What are CPIC guidelines for SLCO1B1 *1/*14 genotype?,Diplotype recognition,"[[""*1/*14"", ""SLCO1B1""]]",,0,0,0,0,0,0
Are there any therapeutic guidelines for CYP2C9 *1 *2 diplotype?,Diplotype recognition,"[[""*1/*2"", ""CYP2C9""]]",,0,1,1,1,1,1
What does having alleles *4/*44 in the SLCO1B1 gene mean?,Diplotype recognition,"[[""*4/*44"", ""SLCO1B1""]]",,1,0,1,0,1,1
What is the metabolizer phenotype for CYP2C9 *2/*45 genotype?,Diplotype recognition,"[[""*2/*45"", ""CYP2C9""]]",,1,0,1,1,1,1
What does CYP2C9 *4 *61 do?,Diplotype recognition,"[[""*4/*61"", ""CYP2C9""]]",,0,0,0,0,0,0
What is the EHR notation for SLCO1B1 *49/*49?,Diplotype recognition,"[[""*49/*49"", ""SLCO1B1""]]",,0,0,0,0,0,0
What does a CYP2C9 *3/*5 diplotype indicate?,Diplotype recognition,"[[""*3/*5"", ""CYP2C9""]]",,1,0,1,0,1,1
My patient's genetic test shows SLCO1B1 *27/*49. What gene is this associated with?,Diplotype recognition,"[[""*27/*49"", ""SLCO1B1""]]",,1,1,1,1,1,1
Can you explain the SLCO1B1 *34/*42 diplotype?,Diplotype recognition,"[[""*34/*42"", ""SLCO1B1""]]",,1,1,1,1,1,1
My genetic test indicates a CYP2C9 *2/*8 genotype. What gene is this related to?,Diplotype recognition,"[[""*2/*8"", ""CYP2C9""]]",,1,1,1,1,1,1
Is there any difference between SLCO1B1 decreased function and SLCO1B1 possible decreased function for simvastatin dosage?,Phenotype and Drug recognition,"[[""SLCO1B1 decreased function"", ""SLCO1B1 possible decreased function"", ""simvastatin""]]",,0,0,0,0,0,0
How does SLCO1B1 decreased function affect simvastatin dosage?,Phenotype and Drug recognition,"[[""SLCO1B1 decreased function"", ""simvastatin""]]",,1,1,1,1,1,1
Will my patient's genetic status for the SLCO1B1 gene affect their atorvastatin prescription?,Phenotype and Drug recognition,"[[""SLCO1B1 decreased function"", ""atorvastatin""], [""SLCO1B1 possible decreased function"", ""atorvastatin""], [""SLCO1B1  poor function"", ""atorvastatin""]] ",,1,0,1,0,1,1
What is the effect of phenotype of SLCO1B1 Normal Function on fluvastatin dosage?,Phenotype and Drug recognition,"[[""SLCO1B1 Normal Function"","" fluvastatin""]]",,0,1,1,1,1,1
My patient has a SLCO1B1 Possible Decreased Function. How does this impact pitavastatin dosage?,Phenotype and Drug recognition,"[[""SLCO1B1 possible decreased function"", ""pitavastatin""], [""SLCO1B1 decreased function"", ""pitavastatin""]]",,1,1,1,1,1,1
What is the effect of a pgx result of SLCO1B1 Indeterminate on lovastatin dosage?,Phenotype and Drug recognition,"[[""SLCO1B1 Indeterminate"",""lovastatin""]]",,0,0,0,0,0,0
My patient has the following phenotypes -SLCO1B1 Poor Function. How does this impact their atorvastatin dosage?,Phenotype and Drug recognition,"[[""SLCO1B1 Poor Function"",""atorvastatin""]]",,1,1,1,1,1,1
I take pravachol for my cholesterol. My doctor recently ordered a genetic test for me and I just got the results. It looks like I have something called SLCO1B1 increased function. What does this mean for my cholesterol or pravachol?,Phenotype and Drug recognition,"[[""SLCO1B1 increased Function"",""pravastatin""]]",,0,0,0,0,1,1
How does SLCO1B1 increased function affect rosuvastatin dosage?,Phenotype and Drug recognition,"[[""SLCO1B1 increased Function"",""rosuvastatin""]]",,1,1,1,1,1,1
What are the implications of having SLCO1B1 possible decreased function when taking pravastatin?,Phenotype and Drug recognition,"[[""SLCO1B1 possible decreased function"", ""pravastatin""]]",,0,0,0,1,1,1
How does CYP2C9 poor metabolizer status affect simvastatin prescription?,Phenotype and Drug recognition,"[[""CYP2C9 poor metabolizer""]]",,1,1,1,1,1,1
My patient has SLCO1B1 normal function. How does this impact their pitavastatin dosage?,Phenotype and Drug recognition,"[[""SLCO1B1 normal Function"",""pitavastatin""]]",,0,1,1,1,1,1
What is the effect of SLCO1B1 poor function on atorvastatin dosage?,Phenotype and Drug recognition,"[[""SLCO1B1 Poor Function"",""atorvastatin""]]",,1,1,1,1,1,1
"My patient's pgx results just came back. She is a CYP2C9 poor metabolizer and also appears to have SLCO1B1 decreased function, what should I do about her prescription?",Double Phenotype and Drug recognition," [[""CYP2C9 poor metabolizer"", ""SLCO1B1 decreased function"",""fluvastatin""]]",,0,0,0,0,0,0
Is a person with CYP2C9 poor metabolizer and to have SLCO1B1 poor function at increased risk of myopathy if they take fluvastain?,Double Phenotype and Drug recognition," [[""CYP2C9 poor metabolizer"", ""SLCO1B1 poor function"",""fluvastatin""]]",,0,0,0,1,1,1
What are rosuvastatin dosage implications for ABCG2 poor and SLCO1B1 decreased function?,Double Phenotype and Drug recognition," [[""ABCG2 poor function"", ""SLCO1B1 decreased function"",""rosuvastatin""]]",,0,0,0,1,1,1
Apparently I have something called  ABCG2 decreased function and SLCO1B1 poor function and this might affect my rosuvastatin prescription? Can you help me understand this better?,Double Phenotype and Drug recognition," [[""ABCG2 decreased function"", ""SLCO1B1 poor function"",""rosuvastatin""]]",,0,0,1,1,1,1
My patient has SLCO1B1 decreased fucntion. I did not test her for ABCG2 or CYP2C9. Do I need to make any changes to her rosuvastatin dose? I currently have her on the standard dose. She has not complained of myopathy.,Double Phenotype and Drug recognition," [[""ABCG2 No Result"", ""SLCO1B1 decreased function"",""rosuvastatin""]]",,0,1,1,1,1,1
How should I adjust the dosage of rosuvastatin for a patient with ABCG2 decreased function and SLCO1B1 normal function?,Double Phenotype and Drug recognition," [[""ABCG2 decreased function"", ""SLCO1B1 normal function"",""rosuvastatin""]]",,0,0,0,0,0,0
My patient's genetic test shows both CYP2C9 normal metabolizer and SLCO1B1 possible decreased function. What does this mean for their fluvastatin prescription?,Double Phenotype and Drug recognition," [[""CYP2C9 normal metabolizer"", ""SLCO1B1 possible decreaased function"",""fluvastatin""]]",,0,0,0,0,0,0
What drug should I order for a phenotype of SLCO1B1 Possible Decreased Function and ABCG2 Decreased Function?,Double Phenotype recognition,"[[""SLCO1B1 Possible Decreased Function"",""ABCG2 Decreased Function""],[""SLCO1B1 Decreased Function"",""ABCG2 Decreased Function""]]",,0,0,0,0,0,0
What are the guidelines for SLCO1B1 Poor Function and ABCG2 Decreased Function ?,Double Phenotype recognition,"[[""ABCG2 decreased function"", ""SLCO1B1 poor function""]]",,0,0,0,0,0,0
My patient has SLCO1B1 Normal Function and ABCG2 Normal Function. What are the drug dosage guidelines?,Double Phenotype recognition,"[[""SLCO1B1 Normal Function"",""ABCG2 Normal Function""]]",,0,0,0,0,0,0
"My patient's Pgx results indicate SLCO1B1 Increased Function and ABCG2 Normal Function, her SLCO1B1 diplotype is *14/*14. What should I know about appropriate drug dosage?",Double Phenotype recognition,"[[""SLCO1B1 Increased Function"", ""ABCG2 Normal Function""]]",,0,0,0,0,0,0
What is SAMS risk for a patient with SLCO1B1 Increased Function and ABCG2 Poor Function ?,Double Phenotype recognition,"[[""ABCG2 poor function"", ""SLCO1B1 increased function""]]",,0,0,0,0,0,0
How should I adjust fluvastation dose for my patient with CYP2C9 poor metabolizer? They were not tested on SLCO1B1.,Double Phenotype recognition,"[[""CYP2C9 poor metabolizer"", ""SLCO1B1 No result""]]",,1,1,1,1,1,1
I ordered a pgx test for my patient before prescribing fluvastatin. The SLCO1B1 result was indeterminate and the CYP2C9 gene shows intermediate metabolizer. Can I prescrible recommended dosage or should I adjust dosage based on their pgx result?,Double Phenotype recognition,"[[""CYP2C9 intermediate metabolizer"", ""SLCO1B1 Indeterminate""]]",,0,0,0,0,0,0
My patient has SLCO1B1 decreased fucntion. I did not test her for ABCG2 or CYP2C9. Do I need to make any changes to her fluvastatin dose? I currently have her on the standard dose. She has not complained of myopathy.,Double Phenotype recognition,"[[""CYP2C9 No Result"", ""SLCO1B1 Decreased Function""]]",,0,0,0,0,0,0
My patient is CYP2C9 normal metabolizer and SLCO1B1 poor function. Does this affect her statin dosing?,Double Phenotype recognition,"[[""CYP2C9 Normal Metabolizer"", ""SLCO1B1 Poor Function""]]",,0,0,0,0,1,1
My patient is CYP2C9 poor metabolizer and SLCO1B1 poor function. Does this affect her statin dosing?,Double Phenotype recognition,"[[""CYP2C9 Poor Metabolizer"", ""SLCO1B1 Poor Function""]]",,0,0,0,0,1,1
My patient takes Lescol and complained of muscle pains. I orderded a pgx test targeting statins. His results show CYP2C9 intermediate metabolizer and SLCO1B1 possible decreased function. What does this mean for his lescol.,Double Phenotype recognition,"[[""CYP2C9 Intermediate Metabolizer"", ""SLCO1B1 Possible Decreased Function""], [""CYP2C9 Intermediate Metabolizer"", ""SLCO1B1 Decreased Function""]]",,0,0,0,0,0,0
My patient's pgx result shows poor function for both ABCG2 and SLCO1B1. How does this affect her statin dosing?,Double Phenotype recognition,"[[""ABCG2 Poor Function"", ""SLCO1B1 Poor Function""]]",,0,0,0,0,1,1
My patient's pgx result shows ABCG2 poor function and SLCO1B1 normal function. How does this affect her statin dosing?,Double Phenotype recognition,"[[""ABCG2 Poor Function"", ""SLCO1B1 Normal Function""]]",,0,0,0,1,1,1
Does ABCG2 normal function and SLCO1B1 increased function impact rosuvastatin prescription?,Double Phenotype recognition,"[[""ABCG2 Normal Function"", ""SLCO1B1 Increased Function""]]",,0,0,0,0,1,1
What are the implications on Crestor dosage for SLCO1B1 increased function and ABCG2 poor function?,Brand recognition,"[[""rosuvastatin""]]",,1,1,1,1,1,1
My patient has a SLCO1B1 possible decreased function and is currently take Lipitor. What are the risks?,Brand recognition,"[[""atorvastatin""]]",,1,1,1,1,1,1
What is the generic name for brand Livalo ?,Brand recognition,"[[""pitavastatin""]]",,1,1,1,1,1,1
What are the risks of pravachol on a *20/*37 diplotype ?,Brand recognition,"[[""parvastatin""]]",,0,0,0,0,0,0
What are the risks of pravachol on a SLCO1B1 Poor Function phenotype ?,Brand recognition,"[[""pravastatin""]]",,1,1,1,1,1,1
What phenotype function causes increased myopathy risk for mevacor?,Brand recognition,"[[""lovastatin""]]",,0,0,0,0,0,0
What SLCO1B1 phenotype function causes increased myopathy risk for mevacor?,Brand recognition,"[[""lovastatin""]]",,1,1,1,1,1,1
My patient has SLCO1B1 increased function. Does this cause increased myopathy risk for mevacor?,Brand recognition,"[[""lovastatin""]]",,0,1,1,1,1,1
What is the brand name for rosuvastatin?,Brand recognition,"[[""Crestor""]]",,1,1,1,1,1,1
What is the brand name for fluvastatin?,Brand recognition,"[[""Lescol""],[""Lescol XL""]]",,0,0,0,0,0,0
What is the brand name for simvastatin?,Brand recognition,"[[""Zocor""]]",,0,0,0,0,0,0
What is the generic name for Zocor?,Brand recognition,"[[""simvastatin""]]",,1,1,1,1,1,1
What is the generic name for Crestor?,Brand recognition,"[[""rosuvastatin""]]",,1,1,1,1,1,1
What is the generic name for Lescol?,Brand recognition,"[[""fluvastatin""]]",,0,0,0,0,0,0
What is the generic name for Lipitor?,Brand recognition,"[[""atorvastatin""]]",,1,1,1,1,1,1
What is the generic name for the brand Altoprev?,Brand recognition,"[[""lovastatin""]]",,0,0,0,1,1,1
What are the implications of taking Mevacor with a SLCO1B1 decreased function phenotype?,Brand recognition,"[[""lovastatin""]]",,0,0,0,0,0,0
My patient is on Zocor. Are there any genetic considerations I should be aware of?,Brand recognition,"[[""simvastatin""]]",,1,1,1,1,1,1
What is the brand name for pitavastatin?,Brand recognition,"[[""Livalo""]]",,0,0,0,0,0,0
What are the guidelines for a phenotype of SLCO1B1 Poor Function?,Phenotype recognition,"[[""SLCO1B1 Poor Function""]]",,0,0,0,0,0,0
My patient has SLCO1B1 Indeterminate phenotype. What statin should I prescribe?,Phenotype recognition,"[[""SLCO1B1 Indeterminate""]]",,0,0,0,0,0,0
What are the associated drugs for a phenotype of SLCO1B1 Decreased Function?,Phenotype recognition,"[[""SLCO1B1 Decreased Function""]]",,1,1,1,1,1,1
What does it mean to have a phenotype of SLCO1B1 No Result?,Phenotype recognition,"[[""SLCO1B1 No Result""]]",,0,0,0,0,0,0
What are statin dosage guidelines for a phenotype of SLCO1B1 Decreased Function?,Phenotype recognition,"[[""SLCO1B1 Decreased Function""]]",,1,1,1,1,1,1
My pharma genetic test shows that I have SLCO1B1 increased function. Does this impact any medications I take?,Phenotype recognition,"[[""SLCO1B1 Increased Function""]]",,1,1,1,1,1,1
My patient takes Livalo for their high cholesterol and is complaining of muscle pain after they started taking their medication. Genetic test results show that they have SLCO1B1 decreased function. How should I adjust dosage?,Phenotype recognition,"[[""SLCO1B1 Decreased Function""]]",,1,1,1,1,1,1
My patient takes Simvastatin but is complaining of myopathy. Can you tell me the genes and protien function of those genes that could potentially cause myopathy so that I can order an appropriate pgx test for my patient? What should be the predicted phenotype function I should consider to adjust dosage?,Phenotype recognition,"[[""SLCO1B1 Poor Function"", ""SLCO1B1 Decreased Function"", ""SLCO1B1 Possible Decreased Function""]]",,0,0,0,0,0,0
"My pgx test result shows that I have possible decreased function in the gene slco1b1, what does this mean for my  zocor medication?",Phenotype recognition,"[[""SLCO1B1 Possible Decreased Function""], [""SLCO1B1 Decreased Function""]]",,1,1,1,1,1,1
"My patient takes pravastatin, can poor function SLCO1B1 phenotype cause myopathy?",Phenotype recognition,"[[""SLCO1B1 Poor Function""]]",,0,1,1,1,1,1
"My patient takes zocor, what SLCO1B1 phenotype  can cause myopathy?",Phenotype recognition,"[[""SLCO1B1 Possible Decreased Function""], [""SLCO1B1 Decreased Function""], [""SLCO1B1 Poor Function""]]",,0,0,1,0,1,1
What phenotype function causes increased myopathy risk for lovastatin?,Phenotype recognition,"[[""SLCO1B1 Possible Decreased Function""], [""SLCO1B1 Decreased Function""], [""SLCO1B1 Poor Function""]]",,1,1,1,1,1,1
"My patient has increased fucntion for the SLCO1B1 gene,  do I need to adjust his statin dosage?",Phenotype recognition,"[[""SLCO1B1 Increased Function""]]",,1,1,1,1,1,1
"My patient is on atorvastatin and seems to be developing atorvastatin induced myopathy. I have ordered a PGx test and results show that she has decreased function in slco1b1, what are CPIC recommendations?",Phenotype recognition,"[[""SLCO1B1 Decreased Function""]]",,1,1,1,1,1,1
What are the implications of having a SLCO1B1 increased function phenotype?,Phenotype recognition,"[[""SLCO1B1 Increased Function""]]",,0,0,0,0,0,0
